"Domain","Base Domain","URL","Agency","Sources","Participates in DAP?"
"buyusa.gov","buyusa.gov","https://www.buyusa.gov","Department of Commerce","dotgov","Yes"
"campusdrugprevention.gov","campusdrugprevention.gov","https://www.campusdrugprevention.gov","Department of Justice","dotgov","Yes"
"cancer.gov","cancer.gov","https://www.cancer.gov","Department of Health and Human Services","dotgov","Yes"
"cao.gov","cao.gov","https://www.cao.gov","General Services Administration","dotgov","Yes"
"capnhq.gov","capnhq.gov","https://capnhq.gov","Civil Air Patrol","dotgov","No"
"casl.gov","casl.gov","https://casl.gov","Department of Energy","dotgov","No"
"cbca.gov","cbca.gov","https://cbca.gov","General Services Administration","dotgov","No"
"cbp.gov","cbp.gov","https://www.cbp.gov","Department of Homeland Security","dotgov","Yes"
"ccac.gov","ccac.gov","https://www.ccac.gov","Department of the Treasury","dotgov","Yes"
"cdc.gov","cdc.gov","https://www.cdc.gov","Department of Health and Human Services","dotgov","Yes"
"cdcpartners.gov","cdcpartners.gov","http://www.cdcpartners.gov","Department of Health and Human Services","dotgov","No"
"cdfifund.gov","cdfifund.gov","https://www.cdfifund.gov","Department of the Treasury","dotgov","No"
"cendi.gov","cendi.gov","https://cendi.gov","Department of Energy","dotgov","No"
"census.gov","census.gov","https://www.census.gov","Department of Commerce","dotgov","Yes"
"cep.gov","cep.gov","https://cep.gov","Department of Commerce","dotgov","No"
"cfa.gov","cfa.gov","https://cfa.gov","U.S. Commission of Fine Arts","dotgov","No"
"cfda.gov","cfda.gov","https://www.cfda.gov","General Services Administration","dotgov","No"
"cfo.gov","cfo.gov","https://cfo.gov","General Services Administration","dotgov","Yes"
"cftc.gov","cftc.gov","https://cftc.gov","Commodity Futures Trading Commission","dotgov","Yes"
"challenge.gov","challenge.gov","https://www.challenge.gov","General Services Administration","dotgov","Yes"
"chcoc.gov","chcoc.gov","https://chcoc.gov","Office of Personnel Management","dotgov","Yes"
"childcare.gov","childcare.gov","http://childcare.gov","Department of Health and Human Services","dotgov","Yes"
"childstats.gov","childstats.gov","https://www.childstats.gov","Department of Education","dotgov","Yes"
"childwelfare.gov","childwelfare.gov","https://www.childwelfare.gov","Department of Health and Human Services","dotgov","No"
"choosemyplate.gov","choosemyplate.gov","https://www.choosemyplate.gov","U.S. Department of Agriculture","dotgov","Yes"
"cia.gov","cia.gov","https://www.cia.gov","Central Intelligence Agency","dotgov","No"
"cio.gov","cio.gov","https://www.cio.gov","General Services Administration","dotgov","Yes"
"cisa.gov","cisa.gov","https://www.cisa.gov","Department of Homeland Security","dotgov","Yes"
"citizenscience.gov","citizenscience.gov","https://www.citizenscience.gov","General Services Administration","dotgov","Yes"
"climate.gov","climate.gov","https://climate.gov","Department of Commerce","dotgov","Yes"
"clinicaltrials.gov","clinicaltrials.gov","https://clinicaltrials.gov","Department of Health and Human Services","dotgov","Yes"
"clintonlibrary.gov","clintonlibrary.gov","https://www.clintonlibrary.gov","National Archives and Records Administration","dotgov","Yes"
"cloud.gov","cloud.gov","https://cloud.gov","General Services Administration","dotgov","Yes"
"cms.gov","cms.gov","https://www.cms.gov","Department of Health and Human Services","dotgov","Yes"
"cmts.gov","cmts.gov","https://www.cmts.gov","Department of Defense","dotgov","No"
"cncsoig.gov","cncsoig.gov","http://www.cncsoig.gov","Corporation for National and Community Service, Office Of Inspector General","dotgov","No"
"cnss.gov","cnss.gov","https://www.cnss.gov","Department of Defense","dotgov","No"
"code.gov","code.gov","https://code.gov","General Services Administration","dotgov","Yes"
"collegedrinkingprevention.gov","collegedrinkingprevention.gov","https://www.collegedrinkingprevention.gov","Department of Health and Human Services","dotgov","Yes"
"commerce.gov","commerce.gov","https://www.commerce.gov","Department of Commerce","dotgov","Yes"
"complaintreferralexpress.gov","complaintreferralexpress.gov","https://www.complaintreferralexpress.gov","Department of the Treasury","dotgov","No"
"comptrollerofthecurrency.gov","comptrollerofthecurrency.gov","https://comptrollerofthecurrency.gov","Department of the Treasury","dotgov","Yes"
"computersforlearning.gov","computersforlearning.gov","https://computersforlearning.gov","General Services Administration","dotgov","Yes"
"connect.gov","connect.gov","https://connect.gov","General Services Administration","dotgov","Yes"
"consumer.gov","consumer.gov","https://www.consumer.gov","Federal Trade Commission","dotgov","Yes"
"consumerfinance.gov","consumerfinance.gov","https://www.consumerfinance.gov","Consumer Financial Protection Bureau","dotgov","Yes"
"consumerfinancialbureau.gov","consumerfinancialbureau.gov","http://consumerfinancialbureau.gov","Consumer Financial Protection Bureau","dotgov","No"
"consumersentinel.gov","consumersentinel.gov","https://consumersentinel.gov","Federal Trade Commission","dotgov","No"
"consumidor.gov","consumidor.gov","https://www.consumidor.gov","Federal Trade Commission","dotgov","Yes"
"contractdirectory.gov","contractdirectory.gov","https://contractdirectory.gov","General Services Administration","dotgov","Yes"
"coralreef.gov","coralreef.gov","https://coralreef.gov","Department of the Interior","dotgov","Yes"
"coronavirus.gov","coronavirus.gov","https://www.coronavirus.gov","Executive Office of the President","dotgov","No"
"coronavirustesting.gov","coronavirustesting.gov","https://coronavirustesting.gov","Executive Office of the President","dotgov","No"
"cpars.gov","cpars.gov","https://cpars.gov","General Services Administration","dotgov","Yes"
